baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
dapA	0.000567729690008296	-0.499854579880639	0.139726810831398	0	1	1	WP_000193600.1
pncA	6.96686434630368e-05	-0.71291446791625	0.164042288340426	0	1	1	WP_001985076.1
ABUW_RS00310	4.53141692002425e-05	-1.39011225546474	0.190551586963627	0	1	1	WP_001275073.1
ABUW_RS00315	4.40966690294621e-05	-4.58612944991341	0.286145304985828	-9.03781891525879	1.59828862693143e-19	3.06998013489799e-18	WP_001071753.1
ABUW_RS00320	1.73797426423692e-05	-4.0118288408547	0.358812244742202	-5.60691244609042	2.05967784732402e-08	1.35220812988447e-07	WP_000924617.1
hppD	0.00149572568311741	-2.52322917042511	0.134032585557239	-3.90374600512096	9.47151817114641e-05	0.000399017269316483	WP_000353163.1
ABUW_RS00330	0.000258776781511975	-3.09757538794277	0.15081478498044	-7.2776378528479	3.39715800363525e-13	3.80952978442334e-12	WP_000568800.1
ABUW_RS00335	0.00043086509501257	-1.11891108904992	0.145954596719614	0	1	1	WP_000141645.1
maiA	0.000553360482361824	-1.76392395999962	0.151132384188712	0	1	1	WP_000781235.1
fahA	0.00188855441037174	-1.61246952592559	0.141482744449034	0	1	1	WP_000435854.1
ABUW_RS00350	0.000855620709591815	-2.17958054329354	0.157470187253206	-1.14040979074206	0.254115615794562	0.62482166621223	WP_000107088.1
ABUW_RS00355	8.07754289333526e-05	-4.76798801255569	0.252316853354855	-10.9702858756836	5.31042278656079e-28	2.08125660725817e-26	WP_000833249.1
zigA	0.000114484508288716	-6.19556035107125	0.288187345608263	-14.5584475342451	5.16167254963556e-48	8.70751717068956e-46	WP_000624542.1
ABUW_RS00365	4.08995297016843e-05	-2.21381931943916	0.201930524035172	-1.05887567251555	0.289656404860365	0.702856066828153	WP_001246958.1
hutC	4.20564444444595e-05	-2.6535654601071	0.217623561016259	-3.00319256359503	0.00267163327792921	0.00904532034761374	WP_001138319.1
ABUW_RS00375	2.46674157835879e-05	-2.91639961317721	0.25930661157688	-3.53403874897158	0.000409261073943066	0.00156446597724049	WP_000571157.1
hutU	0.000272486645489265	-1.7000450068577	0.170122039327934	0	1	1	WP_000208428.1
hutH	0.000199729921204046	-1.78387703815618	0.171778606600881	0	1	1	WP_000421600.1
ABUW_RS00390	9.87509743338805e-05	-1.30462868395109	0.180520428171574	0	1	1	WP_000081467.1
hutI	4.36910983468985e-05	-0.852434063201442	0.190704056157581	0	1	1	WP_000737790.1
hutG	1.70528760410362e-05	-1.98598937348712	0.239417936552769	0	1	1	WP_001016898.1
ABUW_RS00405	6.2620217137699e-05	-2.73146885302862	0.190253787468678	-3.84470061153995	0.000120699708716744	0.000501407783534225	WP_000797607.1
ABUW_RS00410	1.80699126538881e-05	-2.71006746183244	0.280717383979875	-2.52947449055506	0.0114233477613725	0.035429727669165	WP_000414387.1
murI	0.000126893444864695	-1.54976422028653	0.151020432278295	0	1	1	WP_001063719.1;WP_000125346.1
ABUW_RS00420	1.63764478966871e-05	-5.06640131714797	0.490235757994545	-6.2549523716752	3.97637244029032e-10	3.22094469067358e-09	no_data
ABUW_RS20560	5.95424467967032e-06	-6.05641725799144	1.05517998211781	-3.84428943567521	0.000120902243987483	0.00050171198574485	no_data
ABUW_RS00425	4.28758824829898e-05	-2.56461520086479	0.202754449063167	-2.78472410086982	0.00535732862834257	0.0173654428387378	WP_000862934.1
ABUW_RS00430	8.12202105417791e-05	-1.27520316884407	0.175089791992208	0	1	1	WP_001062713.1
ABUW_RS00435	8.64854698441227e-05	-0.637473999687757	0.173634669968627	0	1	1	WP_001097214.1
glmS	0.000513927258608791	0.740615812644634	0.131470575081469	0	1	1	WP_000334179.1
glmU	0.000224900131103248	-0.207662953576901	0.146443185276492	0	1	1	WP_000108585.1
ABUW_RS00450	5.84409075115954e-05	-0.490467345328221	0.168206007655959	0	1	1	WP_000380676.1
thiL	9.68189891893734e-05	-1.68125105427177	0.16459151799267	0	1	1	WP_000807403.1
