baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
maiA	0.000553360482361824	0.278412673368992	0.152411918673795	0	1	1	WP_000781235.1
fahA	0.00188855441037174	0.207406957006951	0.141848983321698	0	1	1	WP_000435854.1
ABUW_RS00350	0.000855620709591815	0.353150390425444	0.15845458163156	0	1	1	WP_000107088.1
ABUW_RS00355	8.07754289333526e-05	0.119708251468656	0.301633097282351	0	1	1	WP_000833249.1
zigA	0.000114484508288716	1.32155507262581	0.323144536254155	0	1	1	WP_000624542.1
ABUW_RS00365	4.08995297016843e-05	0.183048629269617	0.220549993166334	0	1	1	WP_001246958.1
hutC	4.20564444444595e-05	0.397410432507247	0.235779401653635	0	1	1	WP_001138319.1
ABUW_RS00375	2.46674157835879e-05	0.177546811970141	0.295173816946205	0	1	1	WP_000571157.1
hutU	0.000272486645489265	0.232244306991563	0.171923710061727	0	1	1	WP_000208428.1
hutH	0.000199729921204046	0.224840315678787	0.17450046146122	0	1	1	WP_000421600.1
ABUW_RS00390	9.87509743338805e-05	0.308437954476174	0.18388366213093	0	1	1	WP_000081467.1
hutI	4.36910983468985e-05	-0.0107330031483271	0.197340873717563	0	1	1	WP_000737790.1
hutG	1.70528760410362e-05	0.44153712919527	0.262181989803011	0	1	1	WP_001016898.1
ABUW_RS00405	6.2620217137699e-05	0.292683109141627	0.208917981019158	0	1	1	WP_000797607.1
ABUW_RS00410	1.80699126538881e-05	0.45371438570836	0.318746103121163	0	1	1	WP_000414387.1
murI	0.000126893444864695	-0.098310859986162	0.157696905009286	0	1	1	WP_001063719.1;WP_000125346.1
ABUW_RS00420	1.63764478966871e-05	0.974797009033618	0.578773044319759	0	1	1	no_data
ABUW_RS20560	5.95424467967032e-06	0.632117879155433	1.33920062529734	0	1	1	no_data
ABUW_RS00425	4.28758824829898e-05	0.0697418320954917	0.228466387548715	0	1	1	WP_000862934.1
ABUW_RS00430	8.12202105417791e-05	-0.0124108163861913	0.181761685619396	0	1	1	WP_001062713.1
ABUW_RS00435	8.64854698441227e-05	0.253653517513258	0.1759087946586	0	1	1	WP_001097214.1
glmS	0.000513927258608791	-0.158620804940473	0.131279270483483	0	1	1	WP_000334179.1
glmU	0.000224900131103248	-0.0125096736037078	0.14725096261079	0	1	1	WP_000108585.1
ABUW_RS00450	5.84409075115954e-05	0.31660524816828	0.170512410291018	0	1	1	WP_000380676.1
thiL	9.68189891893734e-05	0.0287491529243534	0.172375088447252	0	1	1	WP_000807403.1
nusB	0.000120331112636844	-0.1797176631113	0.153810508091153	0	1	1	WP_000084188.1
ribE	0.000177590707602752	-0.0067335349808666	0.148315659491087	0	1	1	WP_001007829.1
ABUW_RS00470	0.000550667822135297	-0.0330076686000235	0.132184494457201	0	1	1	WP_001131389.1
ABUW_RS00475	0.000388586211163399	0.102269966983275	0.13317315123737	0	1	1	WP_001985281.1
serB	0.000128347055270675	-0.0185858937072893	0.156004728312053	0	1	1	WP_001206799.1
ABUW_RS00485	0.000139117974431567	0.204181459699536	0.162451330387847	0	1	1	WP_000255593.1
ABUW_RS00490	0.000293539639757241	0.110949036747939	0.139499461084956	0	1	1	WP_000778129.1
dtd	2.26913231778999e-05	-0.0299134075084586	0.232184301479295	0	1	1	WP_001202027.1
pncB	0.000197016939199479	-0.0500511441901444	0.142358722056623	0	1	1	WP_000074557.1
ABUW_RS00505	0.000163214785833771	-0.18761163656973	0.145130534378837	0	1	1	WP_000174475.1
asd	0.000664937969207209	0.286835199545961	0.143013750307908	0	1	1	WP_000011219.1;WP_000862762.1
ABUW_RS00515	0.000189165129232789	0.371479211794515	0.143742657842287	0	1	1	WP_000619878.1
phoR	0.000176084571134645	-0.0801327236195328	0.172037737114095	0	1	1	WP_000273188.1
