baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UniprotID
ABUW_RS00995	0.000127753996698138	-0.659064300840323	0.170074370638702	0	1	1	WP_000190767.1
ABUW_RS01000	9.62772129657557e-05	-1.21909377466311	0.178171549463093	0	1	1	WP_001257162.1
gabT	0.000125654718641907	1.53121708999844	0.183964119894641	0	1	1	WP_000369968.1
ABUW_RS01010	0.000466382014145083	2.67449341027865	0.141260167196662	4.7748308929836	1.79858326377631e-06	1.09039110366439e-05	WP_000615688.1
ABUW_RS01015	0.000102237883966286	-0.85909254025292	0.159546809755772	0	1	1	WP_000912176.1
ABUW_RS01020	0.000249137777618155	1.71687963551189	0.137328486838854	0	1	1	WP_000046156.1
ABUW_RS01025	0.000141854242916033	-2.61404310099272	0.190488773626295	-3.22351332996328	0.00126628404754993	0.00507036336893057	WP_000713961.1
ABUW_RS01030	0.000291552339468237	-0.155605870693394	0.135530960892217	0	1	1	WP_000350212.1
ABUW_RS01035	8.43664766512237e-05	-2.71241013721189	0.185780295924491	-3.83469158376971	0.00012572194693233	0.000586299464059425	WP_000645059.1
ABUW_RS01040	8.48505167798007e-05	0.506507660599607	0.159451303248008	0	1	1	WP_000114353.1
ABUW_RS01045	1.68413512759567e-05	-1.96418705391131	0.295975528174769	0	1	1	no data
ABUW_RS01050	7.82410764918086e-05	-1.03441749181822	0.16814642891438	0	1	1	WP_001089027.1
ABUW_RS01055	1.97828036067372e-05	-2.91280473205563	0.253609882728566	-3.59924748292473	0.000319139362089253	0.00139758546829154	WP_000423165.1
ABUW_RS01060	1.68520601731063e-05	-2.30487505210856	0.265792113860824	-1.14704325752945	0.25136374328422	0.664820261719683	WP_001061073.1
ABUW_RS01065	3.30389506022289e-05	0.48608626142507	0.192943495357807	0	1	1	WP_000597378.1
ABUW_RS01070	1.25994462357736e-05	-0.421971724706943	0.233857217528086	0	1	1	WP_000789147.1
ABUW_RS01075	6.22355297655011e-05	-1.15522277553686	0.159370097074552	0	1	1	WP_000877472.1
ABUW_RS01080	7.3073511657076e-05	-1.87015681145414	0.182143224971907	0	1	1	WP_000447716.1
ABUW_RS01085	8.44913751868747e-06	-4.49825836702339	0.504500623135237	-4.95194307491212	7.34761002143834e-07	4.68893534262841e-06	WP_000792640.1
ABUW_RS01090	1.23244956439862e-05	-4.21616854168716	0.409545796777463	-5.41128381520509	6.25745049821512e-08	4.66902075636052e-07	WP_000455807.1
ABUW_RS01095	1.71778066597762e-05	-5.00693137949935	0.438696218510384	-6.85424503933391	7.16901064096862e-12	8.61169080091586e-11	WP_000654307.1
ABUW_RS01100	3.07617064892832e-05	-4.90481924914978	0.355069019726766	-8.18099886998055	2.81500546587705e-16	5.60113908082203e-15	WP_000670913.1
ABUW_RS01105	1.05898686362354e-05	-6.0949770853734	0.758997975064062	-5.3952411204098	6.84315925886642e-08	5.0574205570289e-07	WP_001215535.1
ABUW_RS01110	3.05726327474272e-05	-2.51074816172814	0.237500482344619	-2.15051420816498	0.0315145633505379	0.100226644098432	WP_000128772.1
ABUW_RS01115	1.76473382982762e-05	-3.70568256915056	0.317407711036442	-5.37379058492605	7.70983952397902e-08	5.65485394197327e-07	WP_000753355.1
ABUW_RS01120	2.83416754151507e-05	-2.56996616472695	0.24992965275357	-2.28050636828169	0.0225776735258019	0.0736765124307076	WP_001178648.1
ABUW_RS01125	2.02481744514049e-05	-4.60636328250573	0.375647711611529	-6.93831800897823	3.96795723859802e-12	4.88751558278105e-11	WP_000604216.1
ABUW_RS01130	4.46456353776757e-06	-4.45342794089665	0.703721336382178	-3.48636287413096	0.00048963633561507	0.0020808203528877	no data
ABUW_RS01135	0.000302422832563135	-0.143602115977075	0.13385645347709	0	1	1	WP_001181664.1
ABUW_RS01140	0.000386304120852365	3.17788961491176	0.206088191860558	5.71546387145139	1.09405164613657e-08	9.01256982380017e-08	WP_000581866.1
ABUW_RS01145	5.57612286074819e-05	-1.12248507502121	0.177827227297125	0	1	1	WP_000157128.1
ABUW_RS01150	1.86743986451011e-05	-1.36044109151065	0.221114369705284	0	1	1	WP_000458293.1
ABUW_RS01155	1.00196929071186e-05	-0.633577652927078	0.260907305694649	0	1	1	WP_000476050.1
ABUW_RS20090	2.69969989745347e-06	-0.160406069104352	0.366474511609309	0	1	1	no_data
